"","va1","va2","va3"
"139","GZMA",0.238445826306134,"BAX"
"140","GZMB",0.247346501848676,"BAX"
"141","IL18",0.366391744218211,"BAX"
"142","IL1A",0.216738763347113,"BAX"
"143","IL1B",0.0722118705143775,"BAX"
"144","IRF1",0.217461065470853,"BAX"
"145","IRF2",-0.0461505480552168,"BAX"
"146","NAIP",0.128317777021121,"BAX"
"147","NLRC4",0.212139324312588,"BAX"
"148","NLRP1",0.201253147346991,"BAX"
"149","NLRP9",0.0877476241025987,"BAX"
"150","TP53",0.451163303069427,"BAX"
"151","TP63",0.0773724613512254,"BAX"
"152","ZBP1",0.253648881367478,"BAX"
"153","AIM2",0.643611818610763,"CASP1"
"154","APIP",0.0998727684624899,"CASP1"
"155","BAK1",0.262211262819927,"CASP1"
"156","BAX",0.178164261526335,"CASP1"
"157","CASP1",1,"CASP1"
"158","CASP3",0.344682864400466,"CASP1"
"159","CASP4",0.600734055066871,"CASP1"
"160","CASP5",0.536578538711635,"CASP1"
"161","CASP8",0.342967094028829,"CASP1"
"162","CHMP2A",-0.0456483213952329,"CASP1"
"163","CHMP2B",0.337702464018684,"CASP1"
"164","CHMP3",0.259987285922028,"CASP1"
"165","CHMP4A",0.154013838305424,"CASP1"
"166","CHMP4B",0.275193392985046,"CASP1"
"167","CHMP4C",0.0554495552963476,"CASP1"
"168","CHMP6",0.008513297890586,"CASP1"
"169","CHMP7",0.243049109487148,"CASP1"
"170","CYCS",0.125286836231773,"CASP1"
"171","DHX9",0.15355577892453,"CASP1"
"172","ELANE",0.197179584128363,"CASP1"
"173","GSDMA",0.53386152306017,"CASP1"
"174","GSDMB",0.0570316422401388,"CASP1"
"175","GSDMC",0.273794243635868,"CASP1"
"176","GSDMD",0.0906271571520846,"CASP1"
"177","GZMA",0.698125529814888,"CASP1"
"178","GZMB",0.529420154222061,"CASP1"
"179","IL18",0.61274531129557,"CASP1"
"180","IL1A",0.238559142636755,"CASP1"
"181","IL1B",0.514685172844813,"CASP1"
"182","IRF1",0.660288988800869,"CASP1"
"183","IRF2",0.391645755408441,"CASP1"
"184","NAIP",0.395564014939511,"CASP1"
"185","NLRC4",0.613400280197539,"CASP1"
"186","NLRP1",0.407116972571458,"CASP1"
"187","NLRP9",-0.0258208349614334,"CASP1"
"188","TP53",0.0969178089488183,"CASP1"
"189","TP63",0.0896991315166107,"CASP1"
"190","ZBP1",0.611551933218621,"CASP1"
"191","AIM2",0.276306525808552,"CASP3"
"192","APIP",0.417591954507812,"CASP3"
"193","BAK1",0.514396313309527,"CASP3"
"194","BAX",0.338323647317926,"CASP3"
"195","CASP1",0.344682864400466,"CASP3"
"196","CASP3",1,"CASP3"
"197","CASP4",0.305010489448191,"CASP3"
"198","CASP5",0.290974664398676,"CASP3"
"199","CASP8",0.569424735142379,"CASP3"
"200","CHMP2A",-0.0667938338986336,"CASP3"
"201","CHMP2B",0.521570677721587,"CASP3"
"202","CHMP3",0.52747492248271,"CASP3"
"203","CHMP4A",-0.0125856080962274,"CASP3"
"204","CHMP4B",0.375210405910834,"CASP3"
"205","CHMP4C",0.310570050518691,"CASP3"
"206","CHMP6",0.194177554817039,"CASP3"
"207","CHMP7",0.32364321399474,"CASP3"
"208","CYCS",0.224304290054955,"CASP3"
"209","DHX9",0.588213780801077,"CASP3"
"210","ELANE",0.104876787219997,"CASP3"
"211","GSDMA",0.30686874238685,"CASP3"
"212","GSDMB",0.193840665457112,"CASP3"
"213","GSDMC",0.279442293920689,"CASP3"
"214","GSDMD",0.108830719743727,"CASP3"
"215","GZMA",0.205826166635858,"CASP3"
"216","GZMB",0.130687725918725,"CASP3"
"217","IL18",0.235674961328513,"CASP3"
"218","IL1A",0.251630312868947,"CASP3"
"219","IL1B",0.155021060620435,"CASP3"
"220","IRF1",0.314548273540695,"CASP3"
"221","IRF2",0.593090319431934,"CASP3"
"222","NAIP",0.340360498837329,"CASP3"
"223","NLRC4",0.259373487563622,"CASP3"
"224","NLRP1",0.277894371753126,"CASP3"
"225","NLRP9",0.0750465891320819,"CASP3"
"226","TP53",0.282040757547304,"CASP3"
"227","TP63",0.138126080758497,"CASP3"
"228","ZBP1",0.275285043427802,"CASP3"
"229","AIM2",0.445848294599846,"CASP4"
"230","APIP",0.128264757002637,"CASP4"
"231","BAK1",0.48459325112334,"CASP4"
"232","BAX",0.38590212954127,"CASP4"
"233","CASP1",0.600734055066871,"CASP4"
"234","CASP3",0.305010489448191,"CASP4"
"235","CASP4",1,"CASP4"
"236","CASP5",0.438566971603061,"CASP4"
"237","CASP8",0.39714834362076,"CASP4"
"238","CHMP2A",0.13041956424657,"CASP4"
"239","CHMP2B",0.325404166885451,"CASP4"
"240","CHMP3",0.445496885592773,"CASP4"
"241","CHMP4A",0.274901642645771,"CASP4"
"242","CHMP4B",0.503859683889543,"CASP4"
"243","CHMP4C",0.365583147996671,"CASP4"
"244","CHMP6",0.0638786486593098,"CASP4"
"245","CHMP7",0.289577233223217,"CASP4"
"246","CYCS",0.296798340048681,"CASP4"
"247","DHX9",0.241392526319524,"CASP4"
"248","ELANE",0.0493944228771889,"CASP4"
"249","GSDMA",0.412559341646642,"CASP4"
"250","GSDMB",0.093707041557945,"CASP4"
"251","GSDMC",0.210674666463537,"CASP4"
"252","GSDMD",0.176736815915356,"CASP4"
"253","GZMA",0.424814076257709,"CASP4"
"254","GZMB",0.361016776326761,"CASP4"
"255","IL18",0.579426692931065,"CASP4"
"256","IL1A",0.221098044667702,"CASP4"
"257","IL1B",0.409299460066186,"CASP4"
"258","IRF1",0.546443704369973,"CASP4"
"259","IRF2",0.173182324380453,"CASP4"
"260","NAIP",0.401655357845964,"CASP4"
"261","NLRC4",0.494320290790529,"CASP4"
"262","NLRP1",0.265124796959932,"CASP4"
"263","NLRP9",0.0373968705712126,"CASP4"
"264","TP53",0.286147871947812,"CASP4"
"265","TP63",-0.0424921112367372,"CASP4"
"266","ZBP1",0.42000045637913,"CASP4"
"267","AIM2",0.703979759943011,"CASP5"
"268","APIP",0.179286830066763,"CASP5"
"269","BAK1",0.383781762421591,"CASP5"
"270","BAX",0.24826420062602,"CASP5"
"271","CASP1",0.536578538711635,"CASP5"
"272","CASP3",0.290974664398676,"CASP5"
"273","CASP4",0.438566971603061,"CASP5"
"274","CASP5",1,"CASP5"
"275","CASP8",0.318967101496945,"CASP5"
"276","CHMP2A",-0.0149748712582087,"CASP5"
"277","CHMP2B",0.315707246543419,"CASP5"
"278","CHMP3",0.30447644595713,"CASP5"
"279","CHMP4A",0.174353166042523,"CASP5"
"280","CHMP4B",0.365471669805522,"CASP5"
"281","CHMP4C",0.0955842811642508,"CASP5"
"282","CHMP6",0.0114234673034688,"CASP5"
"283","CHMP7",0.255176337155333,"CASP5"
"284","CYCS",0.19262756921075,"CASP5"
"285","DHX9",0.276393962050788,"CASP5"
"286","ELANE",0.0514794941438679,"CASP5"
"287","GSDMA",0.623058788588786,"CASP5"
"288","GSDMB",0.0700044020918095,"CASP5"
"289","GSDMC",0.218379557836826,"CASP5"
"290","GSDMD",0.126707964992654,"CASP5"
"291","GZMA",0.518314345406198,"CASP5"
"292","GZMB",0.588512375179024,"CASP5"
"293","IL18",0.510081496565059,"CASP5"
"294","IL1A",0.25723980834048,"CASP5"
"295","IL1B",0.529725607548436,"CASP5"
"296","IRF1",0.468761973867693,"CASP5"
"297","IRF2",0.251687504559884,"CASP5"
"298","NAIP",0.475524598088202,"CASP5"
"299","NLRC4",0.611736289942335,"CASP5"
"300","NLRP1",0.256765231170832,"CASP5"
"301","NLRP9",-0.0283209342897666,"CASP5"
"302","TP53",0.167439878439547,"CASP5"
"303","TP63",0.122949727808408,"CASP5"
"304","ZBP1",0.589110112147421,"CASP5"
"305","AIM2",0.28562508345909,"CASP8"
"306","APIP",0.4784782110749,"CASP8"
"307","BAK1",0.528863805771412,"CASP8"
"308","BAX",0.265609731144479,"CASP8"
"309","CASP1",0.342967094028829,"CASP8"
"310","CASP3",0.569424735142379,"CASP8"
"311","CASP4",0.39714834362076,"CASP8"
"312","CASP5",0.318967101496945,"CASP8"
"313","CASP8",1,"CASP8"
"314","CHMP2A",-0.0473635463668529,"CASP8"
"315","CHMP2B",0.544165545234537,"CASP8"
"316","CHMP3",0.544135460975177,"CASP8"
"317","CHMP4A",0.0752299098323169,"CASP8"
"318","CHMP4B",0.367566560109261,"CASP8"
"319","CHMP4C",0.363903863433902,"CASP8"
"320","CHMP6",0.154451844130977,"CASP8"
"321","CHMP7",0.344963713090186,"CASP8"
"322","CYCS",0.264089681467006,"CASP8"
"323","DHX9",0.634165592246319,"CASP8"
"324","ELANE",-0.0105683453429376,"CASP8"
"325","GSDMA",0.287017560508016,"CASP8"
"326","GSDMB",0.36852431915345,"CASP8"
"327","GSDMC",0.309687183071489,"CASP8"
"328","GSDMD",0.0518040269504007,"CASP8"
"329","GZMA",0.119257170481014,"CASP8"
"330","GZMB",0.117439655010105,"CASP8"
"331","IL18",0.309642819088922,"CASP8"
"332","IL1A",0.260726204392108,"CASP8"
"333","IL1B",0.235814669997217,"CASP8"
"334","IRF1",0.313562956222009,"CASP8"
"335","IRF2",0.561981647960957,"CASP8"
