"","AIM2","APIP","BAK1","BAX","CASP1","CASP3","CASP4","CASP5","CASP8","CHMP2A","CHMP2B","CHMP3","CHMP4A","CHMP4B","CHMP4C","CHMP6","CHMP7","CYCS","DHX9","ELANE","GSDMA","GSDMB","GSDMC","GSDMD","GZMA","GZMB","IL18","IL1A","IL1B","IRF1","IRF2","NAIP","NLRC4","NLRP1","NLRP9","TP53","TP63","ZBP1"
"CHMP4A",0.171144508712077,-0.00075020082058498,0.327496508546142,0.45936953701821,0.154013838305424,-0.0125856080962274,0.274901642645771,0.174353166042523,0.0752299098323169,0.459987322005342,-0.0305999169785233,0.205195879340437,1,0.467571861937373,0.149912080516546,0.272701732787643,0.118757269729796,0.232962760915802,-0.050696892960571,-0.0316014441909286,0.146696546915097,0.245290107660345,-0.011698802946182,0.306195737443494,0.285249946589361,0.242914677229856,0.354282087504192,0.193474403089706,0.0890748325883127,0.18040575590986,-0.232997761321037,0.0724491296617356,0.16482581983466,0.0995336842147487,0.0262638493270521,0.158263138438419,-0.0496877922187284,0.231834657731344
"CHMP4B",0.310224809964528,0.300421922432996,0.697890284168208,0.699990047114512,0.275193392985046,0.375210405910834,0.503859683889543,0.365471669805522,0.367566560109261,0.483750051460165,0.327209298199132,0.64210858940695,0.467571861937373,1,0.444583172630452,0.409125207611641,0.368450394190527,0.472423879104166,0.397370649824047,0.0633562121072515,0.348368283252571,0.185326088189685,0.219408848844632,0.371585787957047,0.256479764133079,0.266903827630906,0.451587958751845,0.331899137237441,0.216762930938864,0.354279103358539,0.0191875684093439,0.278469741828765,0.319063051008309,0.207052432478674,0.121926950010173,0.289156694762657,0.0488526347219696,0.291330928440428
"CHMP4C",0.0716172970500895,0.292764500713451,0.550562199938308,0.427901322697623,0.0554495552963476,0.310570050518691,0.365583147996671,0.0955842811642508,0.363903863433902,0.186788371196556,0.359436566873167,0.522154775361442,0.149912080516546,0.444583172630452,1,0.222990125171324,0.123918168324771,0.234713178696823,0.416932212589559,-0.0886580965839231,0.124998992696362,0.219156082704058,0.17100171155531,0.452430688810543,0.0195936451643843,0.0209561892655554,0.24375937237573,0.257185368483894,0.0490989139534522,0.252714104035513,0.0052796352408844,0.168073704216093,0.0767607085569179,0.123734181607795,0.160895722605199,0.299475412477286,-0.00817895595831176,0.104780534678824
"CHMP6",-0.012182170143276,0.269276273881133,0.330714975185784,0.467276103998453,0.008513297890586,0.194177554817039,0.0638786486593098,0.0114234673034688,0.154451844130977,0.444650097369359,0.0196233378923952,0.205112194454549,0.272701732787643,0.409125207611641,0.222990125171324,1,0.123843179021954,0.0278450845229749,0.185848800495892,-0.0572382254948186,0.0352279951533749,0.17536705857497,0.0530615574967767,0.452022718288654,0.00242478403645601,0.0267932470088397,0.0106587998498073,0.0708824875327664,-0.136744625372058,0.0775411561174745,0.0205063463318426,-0.107815532941764,-0.0510453821832615,0.0298349491575748,0.0313818989491451,0.055490634631075,0.109667179573734,0.0623400499417122
"CHMP7",0.296248795797839,0.143694976688822,0.331870079386535,0.233849769550762,0.243049109487148,0.32364321399474,0.289577233223217,0.255176337155333,0.344963713090186,0.0338405302969553,0.283508268920619,0.478968526868228,0.118757269729796,0.368450394190527,0.123918168324771,0.123843179021954,1,0.235118720491941,0.37658029545734,-0.00420122379550538,0.205411678809466,-0.0175003439271075,0.147536171941269,-0.0379504666043652,0.171653480792525,0.210971058563458,0.323590137760872,0.154155201500432,0.212540904248338,0.230772128369884,0.268115651890686,0.319769024079095,0.344501728395377,0.229444639326728,0.0870324380148116,0.245766768510596,0.101769175405638,0.247151825773938
"CYCS",0.0847102117178158,0.234956870209015,0.540902503648288,0.283144358254699,0.125286836231773,0.224304290054955,0.296798340048681,0.19262756921075,0.264089681467006,0.308618429974479,0.313278063816283,0.396499029102605,0.232962760915802,0.472423879104166,0.234713178696823,0.0278450845229749,0.235118720491941,1,0.206795385284627,-0.0086370084974639,0.13663795107572,0.0184382057383989,0.202664446269221,0.113403321635466,0.0627528386724627,0.0958665485185178,0.156643165279038,0.115917956434855,0.00120565144886884,0.131873252691711,-0.075395814110799,0.195080051920463,0.169577047883615,0.0952250732338816,0.105803854662783,0.0170283335139211,-0.0653241859014904,0.0282611173269836
"DHX9",0.208167047179933,0.620725428367284,0.553654491559312,0.386843834868969,0.15355577892453,0.588213780801077,0.241392526319524,0.276393962050788,0.634165592246319,-0.136713197979589,0.588770715228537,0.688191827569586,-0.050696892960571,0.397370649824047,0.416932212589559,0.185848800495892,0.37658029545734,0.206795385284627,1,0.0074293809128193,0.212688257045774,0.142722497764132,0.220555293148862,0.0599497754091596,-0.0366225138278735,0.0481899696784639,0.172534715754644,0.254225658424603,0.181194993616053,0.191498747200343,0.498340139139373,0.370959237037582,0.263764234042677,0.253831667796995,0.183597603410947,0.425340546929801,0.178043330083524,0.162450849181532
"ELANE",0.0839717998382358,-0.000530827761437769,-0.026806868361183,-0.0211100874400804,0.197179584128363,0.104876787219997,0.0493944228771889,0.0514794941438679,-0.0105683453429376,-0.0575224171271041,0.00841556074678668,0.0395311128623861,-0.0316014441909286,0.0633562121072515,-0.0886580965839231,-0.0572382254948186,-0.00420122379550538,-0.0086370084974639,0.0074293809128193,1,0.109018982512094,-0.0109294022419194,0.0943058855696965,-0.0703068644126176,0.154700377684167,0.0227895000503418,0.0839949711952088,0.0293665278950212,0.112983133553353,0.0582896018366247,0.176799375664237,0.071278228364161,0.0737136837472632,0.0613160014701503,0.0208613759496876,-0.00273350134897416,0.031707146731803,0.104628378794693
"GSDMA",0.630368113180146,0.157409541740553,0.35043875139449,0.266992754456811,0.53386152306017,0.30686874238685,0.412559341646642,0.623058788588786,0.287017560508016,0.0107819469323021,0.283512692193797,0.34034195473044,0.146696546915097,0.348368283252571,0.124998992696362,0.0352279951533749,0.205411678809466,0.13663795107572,0.212688257045774,0.109018982512094,1,0.145579051539518,0.294563708287425,0.0925521760600709,0.474748412300651,0.441796427325832,0.505575024597768,0.242039823905595,0.43287702444532,0.402496750474747,0.256156238629934,0.413843851304453,0.582187087473913,0.312223008385944,-0.00676310059901523,0.249941688470897,0.0953969640259839,0.524086476957882
"GSDMB",0.0600646333901065,0.184896250132378,0.156615533275993,0.247260342937461,0.0570316422401388,0.193840665457112,0.093707041557945,0.0700044020918095,0.36852431915345,0.165929130774285,0.0196357247063894,0.0624179995305776,0.245290107660345,0.185326088189685,0.219156082704058,0.17536705857497,-0.0175003439271075,0.0184382057383989,0.142722497764132,-0.0109294022419194,0.145579051539518,1,0.0159514061201798,0.171707826518525,0.0479343531898491,0.0390992494594295,0.0883757260299956,0.161453546949471,-0.0477849341857709,0.134177362601975,0.0379058418118691,0.101252157823509,0.0466942574249022,0.294943043425503,0.0700175903925854,0.0449335138680026,-0.0380094350161666,0.127769269717551
