PRKACA
GSDMB
SCAF11
PJVK
CASP9
NOD1
PLCG1
NLRP1
GSDME
ELANE
TIRAP
CASP4
GSDMD
GPX4
NLRP7
NLRP2
CASP3
CASP6
TNF
IL1B
IL18
CASP8
NLRP6
GSDMA
GSDMC
PYCARD
CASP5
AIM2
NOD2
NLRC4
NLRP3
