CASP1
CASP3
CASP4
CASP5
CASP8
GSDMB
GSDMC
GSDMD
GSDME
GZMA
GZMB
AIM2
APIP
DHX9
GSDMA
NAIP
NLRC4
NLRP1
NLRP9
ZBP1
PRKACA
SCAF11
PJVK
CASP9
NOD1
PLCG1
ELANE
TIRAP
GPX4
NLRP7
NLRP2
CASP6
TNF
IL1B
IL18
NLRP6
PYCARD
NOD2
NLRP3
BAK1
BAX
CHMP2A
CHMP2B
CHMP3
CHMP4A
CHMP4B
CHMP4C
CHMP6
CHMP7
CYCS
MHGBI
IL1A
IRF1
IRF2
TP53
TP63
