BAK1
BAX
CASP1
CASP3
CASP4
CASP5
CHMP2A
CHMP2B
CHMP3
CHMP4A
CHMP4B
CHMP4C
CHMP6
CHMP7
CYCS
ELANE
GSDMD
GSDME
GZMB
MHGBI
IL18
IL1A
IL1B
IRF1
IRF2
TP53
TP63
AIM2
APIP
CASP8
DHX9
GSDMA
GSDMB
GSDMC
GZMA
NAIP
NLRC4
NLRP1
NLRP9
ZBP1
